region_name,park_score,food_score,running_score,lifestyle_score,final_score,grade,park_count_score,park_area_per_person_score,park_ratio_score,large_park_count_score,food_count_score,cafe_count_score,hamburger_count_score,fastfood_count_score,commercial_area_score_norm
종로구,89.78,25.51,95.48,32.26,69.96,orange,100.0,100.0,74.14,75.0,39.08,44.86,19.44,11.07,31.27
중구,35.9,19.72,39.42,25.93,32.09,red,42.86,28.96,45.18,25.0,34.27,36.91,14.81,3.3,25.27
용산구,3.22,14.15,2.99,18.44,7.39,red,3.57,6.65,0.0,0.0,23.92,26.27,11.11,2.14,17.88
성동구,20.33,12.48,22.23,15.43,18.55,red,17.86,10.37,18.96,50.0,17.62,20.87,6.48,14.56,15.02
광진구,20.74,25.36,22.97,23.76,22.98,red,17.86,8.93,22.59,50.0,22.68,21.06,27.78,25.83,23.87
동대문구,0.17,18.12,0.07,18.64,6.47,red,0.0,0.0,0.67,0.0,23.55,17.67,13.89,22.52,19.35
중랑구,25.13,12.14,28.23,11.44,21.6,red,28.57,13.91,37.48,25.0,13.98,9.02,11.11,14.95,11.99
성북구,33.73,20.2,37.73,20.59,30.43,red,39.29,22.19,49.57,25.0,17.74,22.59,18.52,24.66,20.03
강북구,85.68,6.27,94.27,5.66,60.83,orange,92.86,64.2,100.0,100.0,9.02,3.35,6.48,5.24,6.21
도봉구,60.71,0.27,67.36,0.08,41.87,orange,64.29,40.72,76.55,75.0,0.0,0.0,0.0,1.36,0.0
노원구,52.83,29.59,58.37,24.59,46.14,orange,53.57,35.96,62.41,75.0,16.12,17.62,37.96,33.2,24.37
은평구,54.67,18.51,60.95,17.31,44.09,orange,60.71,37.67,75.24,50.0,16.55,14.92,17.59,25.24,17.55
서대문구,27.53,17.08,30.67,16.47,24.91,red,32.14,17.27,38.81,25.0,13.93,16.83,20.37,13.01,15.96
마포구,21.34,53.94,23.37,62.9,34.35,red,17.86,12.13,20.5,50.0,64.6,81.31,40.74,52.43,60.91
양천구,8.77,15.73,10.0,14.08,11.47,red,10.71,4.96,17.41,0.0,9.35,12.74,18.52,18.06,13.63
강서구,5.28,48.08,5.45,45.77,20.09,red,7.14,6.36,5.06,0.0,42.95,41.75,49.07,55.73,45.99
구로구,11.05,11.87,12.4,13.33,11.95,red,14.29,7.68,19.17,0.0,18.86,13.99,5.56,17.48,13.94
금천구,19.17,6.35,21.2,7.06,15.46,red,21.43,11.23,24.51,25.0,8.58,8.69,7.41,0.0,6.84
영등포구,13.17,39.29,14.21,42.07,22.95,red,7.14,5.7,7.55,50.0,49.76,44.68,31.48,42.33,42.7
동작구,22.42,14.8,25.3,13.43,20.62,red,25.0,10.78,34.57,25.0,10.16,12.18,17.59,15.15,13.1
관악구,42.55,23.48,47.62,23.44,37.65,red,50.0,29.78,63.51,25.0,28.46,20.78,17.59,33.79,24.47
서초구,50.76,49.51,54.71,48.49,51.6,orange,50.0,45.26,44.67,75.0,40.54,50.86,59.26,35.53,46.94
강남구,19.53,100.0,21.29,100.0,48.31,orange,21.43,14.32,21.64,25.0,100.0,100.0,100.0,100.0,100.0
송파구,18.55,65.46,20.18,61.52,35.14,red,10.71,5.32,11.04,75.0,54.55,55.09,65.74,83.5,61.74
강동구,6.19,23.29,6.87,23.75,12.46,red,7.14,5.03,10.58,0.0,22.86,24.69,18.52,33.4,23.66
